Date      - 2021-10-11T17:54:32
Vref      = 3.319 V
Us(+5V)   = 4.917 V
Temp_SiPM = 23.027 C
Temp_CPU  = 35.778 C
U_LED_on  = 2.85 V, (402nm)
+U_SiPM   = 3.289 V
-U_SiPM   = -23.718 V
U_SiPM    = 27.008 V
I_SiPM    = 0.723 uA
 No t[s] T[C] U+_SiPM[V] U-_SiPM[V] Vert.angl[grad]. Hor.angl[grad] I_SiPM[uA] I0_SiPM[uA] 
1 13.659 23.09 3.288 -23.72 90 0 0.719 0.726
2 15.663 22.966 3.288 -23.717 90 2 0.893 0.74
3 17.666 23.072 3.289 -23.712 90 4 1.199 0.695
4 19.672 23.062 3.289 -23.714 90 6 1.501 0.727
5 21.676 22.979 3.289 -23.716 90 8 1.854 0.728
6 23.683 23.012 3.288 -23.717 90 10 2.153 0.668
7 25.689 22.898 3.289 -23.718 90 12 2.472 0.699
8 27.692 22.961 3.289 -23.718 90 14 2.834 0.715
9 29.698 22.954 3.289 -23.72 90 16 3.12 0.69
10 31.703 22.986 3.289 -23.714 90 18 3.48 0.7
11 33.71 23.014 3.289 -23.721 90 20 3.801 0.72
12 35.714 22.885 3.289 -23.722 90 22 4.162 0.735
13 37.722 22.987 3.289 -23.721 90 24 4.539 0.715
14 39.727 22.997 3.289 -23.712 90 26 4.787 0.708
15 41.729 23.008 3.289 -23.715 90 28 5.024 0.734
16 43.734 23.014 3.289 -23.719 90 30 5.432 0.761
17 45.741 22.892 3.289 -23.715 90 32 5.795 0.724
18 47.745 22.989 3.289 -23.72 90 34 6.042 0.745
19 49.751 23.026 3.289 -23.717 90 36 6.239 0.735
20 51.754 22.918 3.289 -23.715 90 38 6.488 0.727
21 53.759 22.886 3.289 -23.72 90 40 6.728 0.722
22 55.766 22.962 3.288 -23.716 90 42 7.067 0.719
23 57.769 22.939 3.289 -23.716 90 44 7.344 0.719
24 59.774 22.974 3.289 -23.715 90 46 7.53 0.692
25 61.781 22.947 3.289 -23.719 90 48 7.666 0.777
26 63.784 22.924 3.289 -23.716 90 50 7.894 0.711
27 65.788 22.907 3.289 -23.717 90 52 8.119 0.695
28 67.793 22.995 3.289 -23.715 90 54 8.278 0.64
29 69.8 23.037 3.289 -23.716 90 56 8.466 0.77
30 71.802 23.024 3.289 -23.722 90 58 8.623 0.725
31 73.807 22.93 3.289 -23.718 90 60 8.781 0.729
32 75.811 23.008 3.289 -23.718 90 62 8.789 0.692
33 77.815 22.941 3.289 -23.714 90 64 9.014 0.603
34 79.82 22.956 3.289 -23.716 90 66 9.15 0.72
35 81.825 22.952 3.289 -23.717 90 68 9.16 0.69
36 83.831 22.984 3.289 -23.718 90 70 9.388 0.743
37 85.832 22.924 3.289 -23.716 90 72 9.369 0.687
38 87.837 22.932 3.289 -23.721 90 74 9.542 0.714
39 89.842 22.969 3.289 -23.712 90 76 9.518 0.628
40 91.847 22.886 3.289 -23.717 90 78 9.667 0.737
41 93.851 23.003 3.288 -23.721 90 80 9.727 0.747
42 95.855 22.944 3.288 -23.72 90 82 9.748 0.662
43 97.859 22.932 3.289 -23.72 90 84 9.817 0.708
44 99.865 22.939 3.288 -23.719 90 86 9.785 0.725
45 101.867 23.02 3.289 -23.717 90 88 9.838 0.712
46 103.872 23.023 3.288 -23.718 90 90 9.781 0.718
47 105.875 23.039 3.289 -23.716 90 92 9.724 0.63
48 107.882 22.985 3.288 -23.718 90 94 9.778 0.73
49 109.883 22.936 3.288 -23.717 90 96 9.691 0.707
50 111.887 22.932 3.289 -23.721 90 98 9.736 0.746
51 113.893 22.956 3.288 -23.716 90 100 9.667 0.641
52 115.897 22.894 3.289 -23.716 90 102 9.514 0.733
53 117.899 23.021 3.288 -23.719 90 104 9.558 0.731
54 119.903 23.026 3.289 -23.714 90 106 9.485 0.766
55 121.909 22.977 3.288 -23.718 90 108 9.367 0.716
56 123.914 23.04 3.289 -23.714 90 110 9.233 0.703
57 125.915 22.923 3.289 -23.717 90 112 9.169 0.693
58 127.921 23.081 3.289 -23.72 90 114 9.042 0.75
59 129.924 23.056 3.288 -23.716 90 116 8.829 0.744
60 131.928 23.017 3.289 -23.715 90 118 8.74 0.745
61 133.93 22.983 3.288 -23.715 90 120 8.62 0.728
62 135.936 23.002 3.289 -23.713 90 122 8.395 0.663
63 137.938 22.9 3.289 -23.714 90 124 8.214 0.67
64 139.944 22.985 3.289 -23.719 90 126 8.019 0.708
65 141.946 22.918 3.289 -23.717 90 128 7.826 0.708
66 143.948 23 3.289 -23.716 90 130 7.633 0.696
67 145.954 22.949 3.289 -23.712 90 132 7.354 0.701
68 147.955 22.982 3.289 -23.717 90 134 7.091 0.695
69 149.959 23.009 3.289 -23.719 90 136 6.95 0.728
70 151.963 23.005 3.289 -23.72 90 138 6.661 0.718
71 153.968 22.997 3.289 -23.716 90 140 6.359 0.718
72 155.969 22.865 3.289 -23.715 90 142 6.095 0.745
73 157.972 22.882 3.289 -23.72 90 144 5.861 0.679
74 159.979 23.035 3.289 -23.717 90 146 5.611 0.704
75 161.982 22.932 3.289 -23.716 90 148 5.254 0.731
76 163.983 23.045 3.289 -23.725 90 150 5.036 0.695
77 165.988 22.99 3.289 -23.724 90 152 4.668 0.738
78 167.991 23.063 3.289 -23.717 90 154 4.38 0.728
79 169.994 22.978 3.289 -23.716 90 156 4.055 0.715
80 171.997 22.979 3.289 -23.72 90 158 3.688 0.717
81 174.001 22.924 3.289 -23.717 90 160 3.359 0.702
82 176.002 22.949 3.289 -23.72 90 162 3.061 0.744
83 178.005 23.029 3.289 -23.714 90 164 2.752 0.711
84 180.011 22.928 3.289 -23.714 90 166 2.354 0.737
85 182.013 23.084 3.289 -23.721 90 168 2.02 0.736
86 184.017 23.012 3.289 -23.721 90 170 1.783 0.705
87 186.019 22.948 3.289 -23.722 90 172 1.401 0.703
88 188.02 22.95 3.288 -23.719 90 174 1.14 0.699
89 190.025 23.012 3.289 -23.721 90 176 0.949 0.737
90 192.028 23.024 3.289 -23.725 90 178 0.756 0.708
91 194.032 22.997 3.289 -23.722 90 180 0.75 0.69
92 196.033 23.133 3.289 -23.72 90 178 0.752 0.706
93 198.036 22.984 3.289 -23.716 90 176 0.865 0.678
94 200.039 22.982 3.289 -23.724 90 174 1.147 0.73
95 202.042 22.972 3.289 -23.719 90 172 1.41 0.733
96 204.046 23.008 3.288 -23.714 90 170 1.697 0.732
97 206.046 22.984 3.289 -23.718 90 168 1.964 0.727
98 208.05 23.047 3.289 -23.717 90 166 2.338 0.744
99 210.052 22.943 3.289 -23.719 90 164 2.662 0.708
100 212.057 22.983 3.289 -23.721 90 162 2.986 0.725
101 214.059 23.094 3.289 -23.723 90 160 3.387 0.713
102 216.061 23.027 3.289 -23.718 90 158 3.715 0.728
103 218.064 22.96 3.289 -23.716 90 156 4.061 0.705
104 220.068 22.995 3.289 -23.715 90 154 4.372 0.705
105 222.069 22.94 3.289 -23.716 90 152 4.691 0.715
106 224.071 23.02 3.289 -23.719 90 150 4.992 0.708
107 226.072 23.059 3.289 -23.72 90 148 5.232 0.713
108 228.076 22.996 3.289 -23.717 90 146 5.539 0.714
109 230.077 22.996 3.289 -23.721 90 144 5.812 0.749
110 232.082 22.982 3.288 -23.719 90 142 6.113 0.698
111 234.082 22.963 3.289 -23.716 90 140 6.374 0.688
112 236.085 22.978 3.289 -23.717 90 138 6.603 0.689
113 238.09 23.002 3.289 -23.718 90 136 6.944 0.723
114 240.09 22.899 3.288 -23.724 90 134 7.136 0.72
115 242.091 23.001 3.289 -23.719 90 132 7.361 0.685
116 244.095 23.045 3.289 -23.716 90 130 7.587 0.743
117 246.096 22.992 3.289 -23.721 90 128 7.795 0.701
118 248.099 22.967 3.288 -23.723 90 126 8.006 0.689
119 250.101 22.881 3.289 -23.718 90 124 8.202 0.73
120 252.103 23.003 3.289 -23.714 90 122 8.357 0.699
121 254.105 22.981 3.289 -23.719 90 120 8.606 0.721
122 256.108 22.968 3.289 -23.714 90 118 8.716 0.718
123 258.109 22.951 3.289 -23.718 90 116 8.813 0.719
124 260.113 23.093 3.288 -23.721 90 114 8.979 0.716
125 262.113 22.986 3.289 -23.719 90 112 9.097 0.727
126 264.115 22.96 3.289 -23.712 90 110 9.223 0.701
127 266.117 22.948 3.289 -23.714 90 108 9.361 0.763
128 268.119 22.954 3.289 -23.723 90 106 9.408 0.776
129 270.121 23.043 3.289 -23.716 90 104 9.542 0.76
130 272.122 22.904 3.289 -23.715 90 102 9.572 0.721
131 274.125 22.97 3.289 -23.722 90 100 9.647 0.727
132 276.126 22.881 3.289 -23.713 90 98 9.644 0.733
133 278.128 22.979 3.289 -23.719 90 96 9.709 0.724
134 280.13 23 3.289 -23.717 90 94 9.759 0.739
135 282.131 22.915 3.288 -23.718 90 92 9.821 0.674
136 284.133 22.95 3.289 -23.721 90 90 9.803 0.725
137 286.136 22.932 3.288 -23.716 90 88 9.814 0.648
138 288.136 23.041 3.289 -23.716 90 86 9.78 0.756
139 290.138 22.967 3.289 -23.715 90 84 9.772 0.728
140 292.139 23.033 3.289 -23.72 90 82 9.725 0.723
141 294.14 23.082 3.288 -23.718 90 80 9.708 0.728
142 296.142 22.991 3.289 -23.717 90 78 9.64 0.68
143 298.144 22.913 3.288 -23.718 90 76 9.604 0.69
144 300.144 22.909 3.289 -23.718 90 74 9.509 0.787
