Date      - 2021-09-28T11:25:09
Vref      = 3.318 V
Us(+5V)   = 4.911 V
Temp_SiPM = 22.369 C
Temp_CPU  = 31.888 C
U_LED_on  = 2.85 V
+U_SiPM   = 3.289 V
-U_SiPM   = -23.714 V
U_SiPM    = 27.003 V
I_SiPM    = 0.646 uA
>No. t[s] T[C] U+_SiPM[V] U-_SiPM[V] Vert.angl[grad]. Hor.angl[grad] I_SiPM[uA] I0_SiPM[uA] 
>1 13.651 22.341 3.289 -23.713 90 0 0.634 0.636
>2 15.659 22.295 3.289 -23.716 90 2 0.664 0.627
>3 17.66 22.275 3.288 -23.715 90 4 0.61 0.66
>4 19.67 22.292 3.289 -23.714 90 6 0.679 0.629
>5 21.674 22.31 3.289 -23.717 90 8 0.643 0.619
>6 23.676 22.269 3.289 -23.712 90 10 0.641 0.607
>7 25.682 22.37 3.289 -23.716 90 12 0.618 0.61
>8 27.692 22.295 3.289 -23.714 90 14 0.608 0.627
>9 29.694 22.275 3.289 -23.713 90 16 0.674 0.631
>10 31.7 22.222 3.288 -23.711 90 18 0.634 0.618
>11 33.705 22.307 3.289 -23.717 90 20 0.667 0.643
>12 35.712 22.32 3.289 -23.711 90 22 0.629 0.63
>13 37.718 22.251 3.288 -23.72 90 24 0.65 0.625
>14 39.722 22.267 3.289 -23.717 90 26 0.66 0.663
>15 41.728 22.286 3.288 -23.715 90 28 0.632 0.653
>16 43.733 22.285 3.288 -23.721 90 30 0.66 0.61
>17 45.735 22.35 3.289 -23.713 90 32 0.628 0.624
>18 47.74 22.265 3.289 -23.715 90 34 0.709 0.593
>19 49.747 22.295 3.288 -23.714 90 36 0.649 0.647
>20 51.752 22.29 3.289 -23.715 90 38 0.595 0.579
>21 53.76 22.25 3.289 -23.713 90 40 0.665 0.655
>22 55.761 22.212 3.288 -23.717 90 42 0.698 0.645
>23 57.768 22.249 3.289 -23.719 90 44 0.704 0.679
>24 59.772 22.346 3.289 -23.719 90 46 0.656 0.603
>25 61.778 22.199 3.289 -23.712 90 48 0.719 0.632
>26 63.782 22.305 3.289 -23.715 90 50 0.666 0.525
>27 65.787 22.295 3.289 -23.713 90 52 0.691 0.671
>28 67.794 22.224 3.289 -23.719 90 54 0.753 0.66
>29 69.798 22.301 3.288 -23.716 90 56 0.661 0.632
>30 71.803 22.23 3.289 -23.714 90 58 0.767 0.609
>31 73.805 22.233 3.289 -23.714 90 60 0.666 0.646
>32 75.813 22.274 3.288 -23.716 90 62 0.827 0.641
>33 77.817 22.224 3.289 -23.715 90 64 0.836 0.685
>34 79.818 22.195 3.288 -23.718 90 66 0.845 0.653
>35 81.825 22.22 3.289 -23.719 90 68 1.138 0.627
>36 83.827 22.289 3.288 -23.717 90 70 2.899 0.626
>37 85.835 22.216 3.288 -23.723 90 72 8.46 0.635
>38 87.839 22.212 3.289 -23.714 90 74 21.758 0.567
>39 89.845 22.241 3.288 -23.712 90 76 45.795 0.538
>40 91.846 22.247 3.287 -23.717 90 78 60.556 0.624
>41 93.851 22.229 3.287 -23.71 90 80 69.895 0.647
>42 95.856 22.269 3.287 -23.71 90 82 76.186 0.565
>43 97.862 22.243 3.287 -23.712 90 84 76.904 0.688
>44 99.867 22.166 3.287 -23.708 90 86 76.739 0.569
>45 101.868 22.247 3.287 -23.708 90 88 75.664 0.679
>46 103.873 22.18 3.287 -23.713 90 90 75.744 0.653
>47 105.877 22.201 3.287 -23.708 90 92 76.025 0.625
>48 107.881 22.195 3.287 -23.71 90 94 76.123 0.688
>49 109.888 22.218 3.288 -23.707 90 96 75.897 0.639
>50 111.891 22.1 3.287 -23.711 90 98 75.839 0.633
>51 113.896 22.229 3.287 -23.71 90 100 71.521 0.677
>52 115.901 22.222 3.288 -23.716 90 102 60.672 0.655
>53 117.905 22.256 3.288 -23.712 90 104 51.244 0.679
>54 119.907 22.299 3.288 -23.714 90 106 30.763 0.599
>55 121.913 22.258 3.288 -23.719 90 108 12.979 0.587
>56 123.916 22.22 3.289 -23.723 90 110 3.638 0.669
>57 125.918 22.227 3.288 -23.717 90 112 1.098 0.609
>58 127.923 22.205 3.289 -23.719 90 114 0.974 0.643
>59 129.929 22.297 3.288 -23.718 90 116 0.916 0.604
>60 131.933 22.205 3.289 -23.715 90 118 0.826 0.659
>61 133.935 22.233 3.289 -23.718 90 120 0.828 0.603
>62 135.939 22.218 3.289 -23.714 90 122 0.779 0.653
>63 137.944 22.173 3.289 -23.72 90 124 0.744 0.615
>64 139.947 22.177 3.289 -23.718 90 126 0.721 0.629
>65 141.95 22.186 3.289 -23.713 90 128 0.688 0.625
>66 143.955 22.176 3.289 -23.713 90 130 0.698 0.613
>67 145.96 22.157 3.289 -23.72 90 132 0.693 0.635
>68 147.962 22.206 3.288 -23.717 90 134 0.676 0.661
>69 149.968 22.258 3.289 -23.719 90 136 0.655 0.564
>70 151.97 22.222 3.289 -23.717 90 138 0.679 0.615
>71 153.975 22.182 3.288 -23.719 90 140 0.612 0.659
>72 155.977 22.181 3.289 -23.72 90 142 0.675 0.648
>73 157.979 22.241 3.288 -23.718 90 144 0.646 0.634
>74 159.984 22.212 3.289 -23.722 90 146 0.654 0.639
>75 161.989 22.204 3.289 -23.713 90 148 0.649 0.616
>76 163.992 22.161 3.289 -23.713 90 150 0.67 0.632
>77 165.996 22.159 3.289 -23.72 90 152 0.638 0.6
>78 167.998 22.143 3.288 -23.715 90 154 0.643 0.64
>79 170.001 22.179 3.288 -23.718 90 156 0.645 0.644
>80 172.006 22.195 3.289 -23.719 90 158 0.644 0.622
>81 174.009 22.149 3.289 -23.722 90 160 0.606 0.607
>82 176.013 22.178 3.289 -23.716 90 162 0.62 0.635
>83 178.015 22.225 3.289 -23.717 90 164 0.611 0.64
>84 180.018 22.165 3.289 -23.719 90 166 0.622 0.624
>85 182.022 22.207 3.289 -23.717 90 168 0.66 0.635
>86 184.026 22.126 3.289 -23.716 90 170 0.648 0.596
>87 186.027 22.161 3.289 -23.72 90 172 0.672 0.662
