	Hor_ang	90	120	135	150	180
0	0	0.922	1.333	0.976	1.009	0.636
1	2	1.642	2.111	1.949	1.701	1.167
2	4	3.033	3.530	3.541	2.984	2.283
3	6	4.048	4.643	4.877	4.365	3.454
4	8	4.984	5.683	6.040	5.397	4.370
5	10	5.842	6.433	6.718	6.206	5.224
6	12	6.501	7.095	7.338	6.786	5.861
7	14	7.181	7.801	7.871	7.607	6.663
8	16	7.701	8.306	8.382	8.045	7.094
9	18	8.353	8.948	8.875	8.585	7.757
10	20	8.755	9.368	9.368	9.086	8.305
11	22	9.144	9.728	9.719	9.534	8.888
12	24	9.610	9.966	10.006	9.921	9.305
13	26	9.852	10.281	10.324	10.180	9.748
14	28	10.037	10.386	10.539	10.391	9.959
15	30	10.545	10.776	10.835	10.745	10.304
16	32	10.785	11.107	11.075	10.990	10.594
17	34	10.992	11.362	11.351	11.229	10.882
18	36	11.212	11.561	11.464	11.402	11.036
19	38	11.390	11.786	11.781	11.729	11.284
20	40	11.700	11.913	11.931	11.921	11.624
21	42	11.789	12.219	12.162	12.112	11.836
22	44	12.003	12.378	12.387	12.400	12.114
23	46	12.138	12.424	12.517	12.421	12.279
24	48	12.271	12.589	12.696	12.725	12.264
25	50	12.485	12.748	12.926	12.765	12.532
26	52	12.589	12.811	12.920	12.996	12.632
27	54	12.794	13.016	13.079	13.089	12.977
28	56	12.867	13.129	13.185	13.129	13.066
29	58	13.005	13.119	13.342	13.237	13.187
30	60	13.149	13.270	13.362	13.253	13.149
31	62	13.163	13.464	13.483	13.389	13.286
32	64	13.262	13.471	13.419	13.473	13.400
33	66	13.419	13.468	13.523	13.436	13.523
34	68	13.424	13.543	13.608	13.575	13.571
35	70	13.506	13.717	13.684	13.622	13.686
36	72	13.472	13.673	13.785	13.773	13.728
37	74	13.519	13.770	13.676	13.852	13.728
38	76	13.666	13.785	13.789	13.684	13.701
39	78	13.619	13.900	13.821	13.919	13.844
40	80	13.639	13.774	13.793	13.809	13.864
41	82	13.655	13.722	13.872	13.868	13.859
42	84	13.705	13.834	13.929	13.963	13.854
43	86	13.706	13.859	13.875	13.957	13.812
44	88	13.658	13.827	13.911	13.929	13.867
45	90	13.658	13.769	13.839	13.793	13.835
46	92	13.662	13.754	13.790	13.891	13.952
47	94	13.621	13.811	13.840	13.942	13.896
48	96	13.532	13.675	13.680	13.813	13.855
49	98	13.560	13.679	13.694	13.718	13.822
50	100	13.582	13.645	13.681	13.688	13.715
51	102	13.482	13.653	13.674	13.664	13.715
52	104	13.394	13.525	13.575	13.630	13.658
53	106	13.372	13.549	13.508	13.616	13.590
54	108	13.339	13.362	13.359	13.471	13.558
55	110	13.276	13.201	13.267	13.302	13.482
56	112	13.144	13.212	13.231	13.270	13.317
57	114	13.029	13.148	13.139	13.215	13.168
58	116	12.903	12.953	12.970	13.066	13.094
59	118	12.778	12.896	12.908	12.901	13.066
60	120	12.650	12.753	12.745	12.754	12.886
61	122	12.462	12.548	12.577	12.630	12.717
62	124	12.234	12.312	12.422	12.442	12.575
63	126	12.071	12.196	12.192	12.248	12.330
64	128	11.931	12.016	12.015	12.040	12.147
65	130	11.721	11.811	11.843	11.880	11.963
66	132	11.444	11.580	11.662	11.632	11.723
67	134	11.228	11.397	11.398	11.432	11.616
68	136	10.993	11.127	11.215	11.257	11.250
69	138	10.733	10.942	10.924	10.970	10.958
70	140	10.613	10.581	10.688	10.716	10.857
71	142	10.256	10.396	10.500	10.489	10.573
72	144	9.934	10.127	10.256	10.297	10.298
73	146	9.691	9.842	9.939	9.917	10.125
74	148	9.370	9.534	9.660	9.610	9.734
75	150	9.061	9.311	9.428	9.403	9.584
76	152	8.719	8.956	9.046	9.162	9.203
77	154	8.276	8.516	8.758	8.842	8.888
