	Hor_ang	90	120	135	150	180
0	0	0.639	0.637	0.460	0.373	0.350
1	2	1.135	1.286	0.884	0.769	0.699
2	4	2.266	2.477	2.156	2.055	1.603
3	6	3.018	3.714	3.433	3.387	2.638
4	8	4.091	4.754	4.741	4.562	3.753
5	10	4.860	5.562	5.688	5.405	4.627
6	12	5.546	6.264	6.311	6.079	5.328
7	14	6.288	6.948	7.038	6.869	6.132
8	16	6.915	7.389	7.592	7.267	6.747
9	18	7.608	8.107	8.194	8.038	7.244
10	20	8.184	8.524	8.705	8.631	7.926
11	22	8.614	9.012	9.256	8.981	8.500
12	24	9.030	9.518	9.583	9.420	9.008
13	26	9.433	9.755	9.867	9.767	9.430
14	28	9.600	9.996	10.074	10.035	9.758
15	30	10.061	10.460	10.474	10.363	10.236
16	32	10.466	10.732	10.735	10.723	10.419
17	34	10.724	11.105	11.034	10.974	10.746
18	36	11.003	11.292	11.268	11.187	10.913
19	38	11.222	11.468	11.353	11.403	11.249
20	40	11.668	11.620	11.833	11.663	11.586
21	42	11.827	11.993	11.847	11.836	11.812
22	44	11.956	12.158	12.072	12.053	12.065
23	46	12.159	12.270	12.220	12.218	12.275
24	48	12.184	12.420	12.330	12.420	12.453
25	50	12.365	12.561	12.490	12.612	12.568
26	52	12.669	12.652	12.706	12.764	12.797
27	54	12.714	13.029	13.010	12.885	12.948
28	56	12.864	13.147	13.232	13.197	13.064
29	58	13.012	13.304	13.468	13.390	13.384
30	60	13.131	13.399	13.498	13.477	13.587
31	62	13.261	13.450	13.517	13.599	13.669
32	64	13.391	13.402	13.619	13.638	13.710
33	66	13.502	13.626	13.617	13.669	13.844
34	68	13.491	13.627	13.672	13.743	13.859
35	70	13.532	13.746	13.746	13.724	13.772
36	72	13.682	13.640	13.727	13.784	13.904
37	74	13.564	13.723	13.776	13.921	13.938
38	76	13.660	13.850	13.785	13.836	13.809
39	78	13.725	13.818	13.896	13.865	14.030
40	80	13.806	13.908	13.902	13.859	13.844
41	82	13.794	13.813	14.018	14.025	13.905
42	84	13.793	13.808	13.987	13.853	13.949
43	86	13.858	13.896	13.918	13.934	14.030
44	88	13.822	13.922	13.944	13.854	14.078
45	90	13.825	13.868	13.969	13.910	13.917
46	92	13.905	13.758	13.901	13.930	13.872
47	94	13.878	13.858	13.833	13.893	13.973
48	96	13.824	13.842	13.906	13.841	13.839
49	98	13.806	13.789	13.801	13.816	13.830
50	100	13.871	13.783	13.818	13.852	13.846
51	102	13.748	13.746	13.759	13.736	13.772
52	104	13.738	13.695	13.763	13.661	13.683
53	106	13.641	13.666	13.720	13.630	13.629
54	108	13.602	13.640	13.602	13.603	13.674
55	110	13.490	13.530	13.573	13.541	13.459
56	112	13.507	13.481	13.516	13.522	13.485
57	114	13.535	13.429	13.415	13.432	13.482
58	116	13.485	13.366	13.291	13.411	13.339
59	118	13.333	13.389	13.266	13.318	13.135
60	120	13.176	13.230	13.175	13.192	13.064
61	122	12.929	12.996	13.043	12.977	12.890
62	124	12.725	12.736	12.802	12.806	12.719
63	126	12.538	12.515	12.581	12.705	12.586
64	128	12.344	12.389	12.372	12.323	12.390
65	130	12.212	12.199	12.188	12.273	12.265
66	132	11.951	12.010	11.953	12.004	12.050
67	134	11.818	11.705	11.817	11.828	11.838
68	136	11.572	11.550	11.628	11.547	11.620
69	138	11.351	11.304	11.374	11.386	11.378
70	140	11.175	11.133	11.171	11.154	11.041
71	142	10.837	10.858	10.984	10.936	10.844
72	144	10.581	10.632	10.686	10.612	10.542
73	146	10.202	10.401	10.537	10.490	10.257
74	148	9.990	10.090	10.175	10.067	9.958
75	150	9.734	9.854	9.983	9.940	9.773
76	152	9.304	9.496	9.615	9.514	9.375
77	154	8.864	9.113	9.253	9.163	9.038
78	156	8.530	8.776	8.962	8.884	8.767
79	158	7.986	8.130	8.431	8.335	8.292
80	160	7.340	7.718	7.919	7.937	7.752
81	162	6.681	7.027	7.312	7.292	7.148
82	164	6.029	6.501	6.878	6.837	6.600
83	166	5.166	5.725	6.044	6.031	5.833
84	168	4.422	5.048	5.290	5.381	5.150
85	170	3.672	4.303	4.480	4.638	4.448
86	172	2.708	3.018	3.222	3.451	3.505
87	174	1.751	2.070	2.238	2.573	2.613
88	176	0.859	0.942	1.129	1.440	1.819
89	178	0.470	0.397	0.503	0.518	0.788
90	180	0.389	0.332	0.508	0.603	0.774
91	178	0.431	0.387	0.517	0.599	0.767
92	176	0.837	0.899	1.117	1.415	1.724
93	174	1.642	1.985	2.199	2.460	2.629
94	172	2.636	2.994	3.255	3.426	3.387
95	170	3.639	4.203	4.388	4.592	4.473
96	168	4.352	4.995	5.209	5.270	5.056
97	166	5.228	5.769	6.069	5.993	5.849
98	164	6.024	6.504	6.749	6.780	6.604
99	162	6.573	6.965	7.253	7.239	7.042
100	160	7.263	7.629	7.860	7.854	7.677
101	158	7.875	8.166	8.397	8.362	8.237
102	156	8.446	8.739	8.931	8.813	8.683
103	154	8.921	9.129	9.254	9.161	9.053
104	152	9.353	9.494	9.624	9.473	9.398
105	150	9.677	9.841	9.937	9.836	9.764
106	148	9.947	10.040	10.109	10.059	10.011
107	146	10.275	10.340	10.540	10.392	10.225
108	144	10.578	10.649	10.746	10.693	10.555
109	142	10.832	10.886	11.002	10.911	10.810
110	140	11.096	11.108	11.172	11.155	11.067
111	138	11.344	11.346	11.484	11.346	11.315
112	136	11.635	11.641	11.649	11.604	11.559
113	134	11.811	11.780	11.845	11.805	11.850
114	132	11.946	11.985	11.954	12.022	12.020
115	130	12.187	12.112	12.145	12.248	12.272
116	128	12.391	12.307	12.315	12.458	12.461
117	126	12.549	12.548	12.611	12.610	12.646
118	124	12.657	12.696	12.821	12.863	12.747
119	122	12.845	12.988	12.974	13.033	12.929
120	120	13.113	13.276	13.165	13.166	13.088
121	118	13.373	13.321	13.265	13.240	13.202
122	116	13.437	13.402	13.363	13.299	13.297
123	114	13.538	13.453	13.426	13.389	13.428
