	Hor_ang	90	120	135	150	180
0	0	0.026	0.028	0.056	0.045	0.043
1	2	0.058	0.034	0.099	0.002	0.041
2	4	0.058	0.019	0.051	-0.020	0.032
3	6	0.047	0.040	0.098	0.022	0.012
4	8	0.023	0.072	0.040	0.043	0.020
5	10	0.058	0.080	0.052	0.106	0.061
6	12	0.027	0.110	0.090	0.065	0.085
7	14	0.073	0.112	0.059	0.120	0.130
8	16	0.038	0.118	0.145	0.141	0.087
9	18	0.162	0.261	0.255	0.195	0.058
10	20	0.132	0.304	0.337	0.240	0.145
11	22	0.278	0.444	0.442	0.173	0.157
12	24	0.272	0.506	0.457	0.399	0.227
13	26	0.328	0.656	0.550	0.407	0.262
14	28	0.396	0.787	0.773	0.477	0.353
15	30	0.932	1.149	1.051	0.898	0.413
16	32	1.281	1.459	1.411	1.170	0.664
17	34	1.874	1.933	1.811	1.551	1.318
18	36	2.493	2.374	2.114	1.887	1.923
19	38	3.071	3.005	2.819	2.545	2.847
20	40	4.486	4.063	3.766	3.689	4.117
21	42	5.388	4.878	4.762	4.595	5.290
22	44	6.542	6.159	6.066	5.863	6.588
23	46	7.468	7.220	6.924	6.793	7.576
24	48	8.417	8.242	7.901	7.873	8.583
25	50	9.541	9.524	9.428	9.198	9.817
26	52	10.498	10.389	10.378	10.195	10.677
27	54	11.576	11.711	11.691	11.505	11.894
28	56	12.331	12.276	12.135	12.032	12.351
29	58	12.883	12.707	12.442	12.402	12.629
30	60	13.027	12.872	12.695	12.776	12.768
31	62	13.193	12.997	12.891	12.886	13.050
32	64	13.285	13.120	12.960	13.043	13.093
33	66	13.432	13.314	13.314	13.088	13.241
34	68	13.386	13.232	13.306	13.238	13.237
35	70	13.416	13.409	13.428	13.317	13.305
36	72	13.511	13.530	13.496	13.462	13.430
37	74	13.645	13.614	13.457	13.490	13.517
38	76	13.644	13.577	13.460	13.518	13.530
39	78	13.572	13.720	13.581	13.526	13.680
40	80	13.702	13.794	13.562	13.653	13.789
41	82	13.660	13.732	13.698	13.605	13.757
42	84	13.669	13.754	13.758	13.658	13.747
43	86	13.718	13.747	13.687	13.675	13.714
44	88	13.657	13.755	13.756	13.730	13.747
45	90	13.639	13.669	13.755	13.742	13.770
46	92	13.689	13.724	13.664	13.721	13.756
47	94	13.637	13.724	13.722	13.722	13.689
48	96	13.615	13.805	13.698	13.780	13.802
49	98	13.607	13.571	13.669	13.666	13.746
50	100	13.513	13.592	13.769	13.666	13.706
51	102	13.404	13.547	13.567	13.661	13.645
52	104	13.442	13.519	13.537	13.525	13.615
53	106	13.333	13.419	13.500	13.545	13.521
54	108	13.227	13.347	13.461	13.463	13.462
55	110	13.176	13.334	13.222	13.374	13.429
56	112	13.041	13.265	13.227	13.307	13.374
57	114	12.969	13.080	13.174	13.204	13.292
58	116	12.884	12.919	13.063	13.111	13.172
59	118	12.630	12.739	12.805	12.959	13.041
60	120	12.392	12.609	12.727	12.798	12.892
61	122	12.147	12.329	12.466	12.505	12.544
62	124	11.668	11.821	12.017	12.119	11.747
63	126	10.833	11.189	11.410	11.509	10.732
64	128	9.745	10.205	10.398	10.428	9.601
65	130	8.963	9.282	9.389	9.417	8.706
66	132	7.534	7.718	7.869	7.995	7.281
67	134	6.467	6.557	6.622	6.813	6.294
68	136	5.361	5.320	5.658	5.727	5.269
69	138	4.198	4.074	4.285	4.618	4.064
70	140	3.145	3.127	3.542	3.814	3.090
71	142	2.188	2.419	2.765	2.966	2.325
72	144	1.513	1.864	2.131	2.338	1.677
73	146	0.691	1.455	1.799	1.870	0.960
74	148	0.357	0.948	1.301	1.420	0.455
75	150	0.344	0.778	1.047	1.056	0.360
76	152	0.234	0.537	0.769	0.865	0.232
77	154	0.160	0.420	0.630	0.645	0.242
78	156	0.222	0.332	0.451	0.559	0.124
79	158	0.107	0.292	0.387	0.410	0.097
80	160	0.055	0.218	0.321	0.309	0.095
81	162	0.106	0.187	0.240	0.247	0.128
82	164	0.090	0.171	0.180	0.203	0.137
83	166	0.050	0.068	0.136	0.149	0.038
84	168	0.044	-0.020	0.148	0.113	0.035
85	170	0.048	0.029	0.090	0.116	0.086
86	172	0.027	0.028	0.056	0.087	0.045
87	174	0.007	0.041	0.027	0.028	0.041
88	176	-0.032	0.075	-0.030	0.100	-0.023
89	178	-0.011	0.026	0.039	0.079	0.045
90	180	0.009	0.034	0.024	0.035	0.018
91	178	0.025	0.059	0.038	0.079	0.034
92	176	-0.025	0.001	-0.004	0.054	0.025
93	174	0.034	0.036	0.040	0.037	0.046
94	172	0.016	0.027	0.039	0.059	0.017
95	170	0.049	0.021	0.059	0.038	0.037
96	168	0.079	0.073	0.090	0.111	0.044
97	166	0.049	0.076	0.169	0.175	0.043
98	164	0.062	0.124	0.194	0.152	0.158
99	162	0.107	0.140	0.256	0.270	0.094
100	160	0.097	0.223	0.310	0.331	0.105
101	158	0.141	0.191	0.395	0.416	0.147
102	156	0.195	0.345	0.488	0.496	0.210
103	154	0.113	0.438	0.629	0.630	0.216
104	152	0.239	0.603	0.791	0.870	0.233
105	150	0.284	0.770	1.021	1.074	0.353
106	148	0.305	0.978	1.286	1.381	0.426
107	146	0.717	1.447	1.640	1.841	0.915
108	144	1.412	1.841	2.159	2.285	1.621
109	142	2.229	2.424	2.701	2.914	2.292
110	140	3.038	3.142	3.398	3.704	3.080
111	138	4.148	4.128	4.271	4.518	4.026
112	136	5.323	5.315	5.348	5.745	5.196
113	134	6.460	6.567	6.628	6.781	6.244
114	132	7.538	7.768	7.863	7.816	7.334
115	130	8.942	9.198	9.369	9.411	8.610
116	128	9.781	10.107	10.315	10.239	9.528
117	126	10.872	11.129	11.390	11.506	10.667
118	124	11.527	11.838	11.967	12.116	11.627
119	122	12.065	12.308	12.360	12.492	12.377
120	120	12.316	12.580	12.696	12.835	12.846
121	118	12.611	12.747	12.851	12.968	12.990
122	116	12.697	12.943	12.870	13.063	13.076
123	114	12.867	13.077	13.130	13.218	13.255
124	112	12.985	13.132	13.260	13.272	13.340
125	110	13.258	13.355	13.318	13.380	13.423
126	108	13.308	13.444	13.383	13.313	13.483
127	106	13.311	13.511	13.435	13.424	13.443
128	104	13.455	13.633	13.559	13.567	13.584
129	102	13.481	13.612	13.562	13.663	13.663
130	100	13.613	13.702	13.688	13.656	13.754
131	98	13.583	13.671	13.651	13.694	13.685
132	96	13.709	13.740	13.682	13.624	13.836
133	94	13.692	13.706	13.726	13.687	13.734
134	92	13.639	13.731	13.780	13.597	13.742
135	90	13.655	13.648	13.662	13.692	13.785
136	88	13.808	13.715	13.680	13.687	13.754
137	86	13.708	13.784	13.743	13.776	13.757
138	84	13.703	13.657	13.725	13.791	13.653
139	82	13.797	13.771	13.784	13.723	13.768
140	80	13.593	13.693	13.638	13.631	13.779
141	78	13.684	13.624	13.674	13.590	13.753
142	76	13.648	13.616	13.600	13.519	13.586
143	74	13.458	13.691	13.428	13.497	13.539
144	72	13.512	13.548	13.498	13.448	13.457
145	70	13.578	13.436	13.427	13.291	13.427
146	68	13.417	13.433	13.324	13.307	13.334
147	66	13.394	13.295	13.247	13.137	13.300
148	64	13.302	13.223	13.006	13.022	13.076
149	62	13.218	13.071	12.950	12.801	12.959
150	60	13.107	13.059	12.770	12.675	12.953
151	58	12.994	12.829	12.672	12.421	12.652
152	56	12.490	12.405	12.337	12.112	12.488
153	54	11.808	11.891	11.827	11.688	12.166
154	52	10.859	10.764	10.921	10.707	11.129
155	50	9.728	9.701	9.688	9.532	9.980
156	48	8.627	8.479	8.345	8.334	8.855
157	46	7.592	7.395	7.109	7.058	7.767
158	44	6.680	6.442	6.200	6.023	6.781
159	42	5.767	5.288	4.961	4.918	5.650
160	40	4.653	4.418	4.066	3.816	4.419
161	38	3.478	3.255	2.963	2.735	3.196
162	36	2.609	2.532	2.325	2.107	2.211
163	34	1.980	1.979	1.813	1.536	1.234
164	32	1.388	1.508	1.508	1.148	0.649
165	30	0.907	1.154	1.117	0.909	0.420
166	28	0.495	0.867	0.771	0.533	0.305
167	26	0.390	0.612	0.563	0.485	0.304
168	24	0.234	0.493	0.608	0.327	0.208
169	22	0.194	0.345	0.397	0.248	0.183
170	20	0.197	0.312	0.269	0.235	0.212
171	18	0.137	0.210	0.255	0.212	0.134
172	16	0.077	0.140	0.110	0.156	0.136
173	14	0.130	0.068	0.098	0.106	0.174
174	12	0.124	0.005	0.130	0.060	0.007
175	10	0.061	0.061	0.100	0.037	0.084
176	8	0.062	0.049	0.070	0.062	0.021
177	6	0.042	-0.015	0.058	0.020	0.006
178	4	0.017	0.053	0.069	0.019	0.035
179	2	-0.020	0.018	0.074	0.028	0.032
180	0	0.084	-0.005	-0.032	0.048	-0.031
