	Hor_ang	90	120	135	150	180
0	0	-0.007	-0.002	-0.005	0.007	-0.037
1	2	0.153	0.134	0.158	0.140	0.053
2	4	0.504	0.387	0.444	0.349	0.307
3	6	0.774	0.739	0.734	0.764	0.624
4	8	1.126	1.105	1.106	1.060	0.986
5	10	1.485	1.441	1.422	1.386	1.284
6	12	1.773	1.702	1.715	1.734	1.598
7	14	2.119	2.078	2.108	2.067	2.031
8	16	2.430	2.316	2.303	2.291	2.219
9	18	2.780	2.741	2.676	2.703	2.630
10	20	3.081	3.102	2.931	2.931	2.929
11	22	3.427	3.365	3.360	3.373	3.201
12	24	3.824	3.799	3.718	3.712	3.566
13	26	4.079	3.991	3.965	3.979	3.901
14	28	4.290	4.318	4.309	4.292	4.166
15	30	4.671	4.708	4.696	4.636	4.611
16	32	5.071	5.061	4.921	4.925	4.841
17	34	5.297	5.310	5.260	5.223	5.107
18	36	5.504	5.478	5.363	5.447	5.399
19	38	5.761	5.691	5.708	5.731	5.554
20	40	6.006	6.220	6.040	5.948	5.851
21	42	6.348	6.384	6.355	6.396	6.320
22	44	6.625	6.587	6.608	6.563	6.453
23	46	6.838	6.701	6.868	6.640	6.721
24	48	6.889	6.899	6.923	6.910	6.859
25	50	7.183	7.076	7.153	7.182	7.098
26	52	7.424	7.380	7.268	7.266	7.358
27	54	7.638	7.456	7.533	7.566	7.494
28	56	7.696	7.709	7.720	7.660	7.753
29	58	7.898	7.837	7.884	7.759	7.769
30	60	8.052	8.013	8.026	7.997	7.953
31	62	8.097	8.227	8.194	8.156	8.089
32	64	8.411	8.268	8.311	8.182	8.174
33	66	8.430	8.467	8.403	8.440	8.372
34	68	8.470	8.419	8.490	8.559	8.465
35	70	8.645	8.750	8.542	8.586	8.519
36	72	8.682	8.787	8.689	8.664	8.630
37	74	8.828	8.803	8.808	8.856	8.725
38	76	8.890	8.855	8.840	8.854	8.900
39	78	8.930	8.987	8.874	8.891	8.844
40	80	8.980	9.012	8.929	8.961	9.004
41	82	9.086	9.096	8.976	8.983	8.966
42	84	9.109	9.007	9.017	9.042	9.007
43	86	9.060	9.018	9.013	8.972	9.026
44	88	9.126	9.053	9.130	8.998	8.981
45	90	9.063	9.114	9.034	9.086	9.030
46	92	9.094	9.049	9.156	9.054	9.041
47	94	9.048	8.965	9.051	8.910	9.075
48	96	8.984	8.987	8.939	8.930	9.026
49	98	8.990	9.020	8.978	8.971	8.897
50	100	9.026	8.929	8.935	8.897	8.950
51	102	8.781	8.840	8.843	8.813	8.843
52	104	8.827	8.817	8.853	8.852	8.786
53	106	8.719	8.619	8.706	8.683	8.712
54	108	8.651	8.618	8.570	8.654	8.744
55	110	8.530	8.641	8.521	8.479	8.559
56	112	8.476	8.401	8.362	8.446	8.470
57	114	8.292	8.301	8.330	8.288	8.273
58	116	8.085	8.149	8.139	8.136	8.206
59	118	7.995	7.993	8.002	7.971	8.002
60	120	7.892	7.820	7.852	7.962	7.916
61	122	7.732	7.609	7.606	7.668	7.776
62	124	7.544	7.510	7.516	7.458	7.492
63	126	7.311	7.301	7.299	7.264	7.336
64	128	7.118	7.041	7.097	7.052	7.121
65	130	6.937	6.877	6.873	6.968	6.924
66	132	6.653	6.631	6.696	6.561	6.728
67	134	6.396	6.488	6.452	6.469	6.405
68	136	6.222	6.267	6.249	6.141	6.293
69	138	5.943	5.890	5.956	5.915	5.943
70	140	5.641	5.683	5.662	5.727	5.773
71	142	5.350	5.362	5.437	5.379	5.512
72	144	5.182	5.140	5.195	5.144	5.252
73	146	4.907	4.879	4.855	4.894	4.982
74	148	4.523	4.539	4.526	4.583	4.661
75	150	4.341	4.319	4.277	4.296	4.408
76	152	3.930	3.896	3.994	3.992	4.068
77	154	3.652	3.654	3.652	3.641	3.711
78	156	3.340	3.379	3.399	3.415	3.470
79	158	2.971	2.913	2.991	3.079	3.088
80	160	2.657	2.674	2.775	2.691	2.818
81	162	2.317	2.350	2.379	2.416	2.455
82	164	2.041	2.012	2.072	2.083	2.149
83	166	1.617	1.639	1.741	1.709	1.787
84	168	1.284	1.296	1.388	1.417	1.484
85	170	1.078	1.052	1.169	1.098	1.215
86	172	0.698	0.678	0.755	0.756	0.876
87	174	0.441	0.386	0.458	0.494	0.563
88	176	0.212	0.236	0.202	0.222	0.299
89	178	0.048	0.016	0.023	0.013	0.025
90	180	0.060	0.032	0.012	0.024	0.082
91	178	0.046	0.083	0.059	0.033	0.035
92	176	0.187	0.170	0.203	0.150	0.253
93	174	0.417	0.419	0.390	0.483	0.586
94	172	0.677	0.699	0.744	0.747	0.809
95	170	0.965	1.017	1.074	1.095	1.179
96	168	1.237	1.297	1.359	1.376	1.451
97	166	1.594	1.623	1.731	1.711	1.794
98	164	1.954	1.975	2.042	2.046	2.172
99	162	2.261	2.319	2.384	2.343	2.420
100	160	2.674	2.658	2.682	2.737	2.808
101	158	2.987	3.012	3.026	3.048	3.082
102	156	3.356	3.358	3.375	3.391	3.460
103	154	3.667	3.616	3.685	3.688	3.735
104	152	3.976	3.945	3.941	3.961	4.037
105	150	4.284	4.286	4.290	4.320	4.383
106	148	4.519	4.491	4.634	4.487	4.577
107	146	4.825	4.896	4.882	4.806	4.929
108	144	5.063	5.120	5.161	5.148	5.115
109	142	5.415	5.364	5.396	5.408	5.483
110	140	5.686	5.648	5.596	5.687	5.763
111	138	5.914	5.844	5.899	5.887	6.035
112	136	6.221	6.202	6.243	6.231	6.294
113	134	6.416	6.420	6.408	6.419	6.498
114	132	6.676	6.600	6.627	6.642	6.693
115	130	6.844	6.853	6.893	6.918	6.983
116	128	7.094	7.092	7.104	7.055	7.154
117	126	7.317	7.294	7.257	7.289	7.307
118	124	7.472	7.402	7.516	7.490	7.536
119	122	7.658	7.610	7.611	7.596	7.668
120	120	7.885	7.816	7.863	7.860	7.865
121	118	7.998	7.962	7.980	8.023	8.041
122	116	8.094	8.179	8.151	8.065	8.139
123	114	8.263	8.316	8.317	8.287	8.309
124	112	8.370	8.428	8.317	8.381	8.494
125	110	8.522	8.468	8.513	8.525	8.449
126	108	8.598	8.504	8.576	8.602	8.628
127	106	8.632	8.679	8.701	8.708	8.649
128	104	8.782	8.781	8.771	8.793	8.689
129	102	8.851	8.802	8.846	8.834	8.814
130	100	8.920	8.817	8.962	8.911	8.823
131	98	8.911	8.878	8.960	8.952	8.992
