	Hor_ang	90	100	110	120	130	140	150	160	170	180
0	0	0.031	0.007	0.070	0.036	0.070	0.128	0.076	0.135	0.106	0.063
1	2	0.189	0.121	0.194	0.199	0.219	0.190	0.204	0.167	0.223	0.207
2	4	0.350	0.322	0.349	0.367	0.450	0.436	0.432	0.391	0.431	0.375
3	6	0.589	0.582	0.671	0.784	0.695	0.680	0.713	0.673	0.717	0.667
4	8	0.895	0.965	1.033	1.032	1.009	1.010	1.122	0.986	1.017	1.091
5	10	1.254	1.301	1.314	1.316	1.368	1.376	1.386	1.382	1.345	1.348
6	12	1.546	1.580	1.637	1.624	1.650	1.673	1.708	1.730	1.661	1.638
7	14	1.862	1.921	1.979	2.010	1.986	2.067	2.068	2.016	2.024	1.966
8	16	2.178	2.249	2.259	2.267	2.303	2.367	2.308	2.360	2.301	2.263
9	18	2.585	2.671	2.627	2.675	2.728	2.729	2.720	2.681	2.617	2.641
10	20	2.952	2.957	2.979	3.035	2.980	3.107	3.051	3.060	3.019	2.964
11	22	3.241	3.292	3.300	3.313	3.377	3.383	3.320	3.362	3.342	3.340
12	24	3.654	3.729	3.710	3.750	3.747	3.732	3.743	3.764	3.739	3.696
13	26	3.948	4.092	4.003	4.046	4.094	4.050	4.069	4.056	3.988	3.973
14	28	4.289	4.384	4.376	4.334	4.379	4.310	4.343	4.321	4.383	4.300
15	30	4.663	4.710	4.713	4.787	4.746	4.707	4.792	4.671	4.745	4.639
16	32	4.956	4.973	4.971	5.058	5.007	5.076	5.001	4.989	5.027	4.948
17	34	5.233	5.376	5.274	5.358	5.360	5.376	5.352	5.318	5.345	5.290
18	36	5.458	5.563	5.486	5.527	5.528	5.545	5.546	5.557	5.553	5.539
19	38	5.751	5.784	5.713	5.914	5.722	5.877	5.783	5.907	5.750	5.719
20	40	6.087	6.172	6.087	6.197	6.165	6.248	6.185	6.133	6.171	6.184
21	42	6.366	6.410	6.260	6.344	6.374	6.386	6.422	6.416	6.447	6.418
22	44	6.527	6.764	6.661	6.770	6.693	6.661	6.721	6.664	6.682	6.809
23	46	6.814	6.851	6.801	6.916	6.855	6.804	6.933	6.873	6.876	6.790
24	48	6.973	7.036	6.966	7.014	6.955	7.054	7.118	6.997	7.048	7.045
25	50	7.269	7.330	7.207	7.352	7.306	7.298	7.314	7.391	7.348	7.242
26	52	7.521	7.400	7.408	7.401	7.514	7.505	7.503	7.505	7.529	7.495
27	54	7.656	7.807	7.700	7.718	7.713	7.842	7.814	7.728	7.801	7.650
28	56	7.817	7.931	7.842	7.877	7.864	7.942	7.962	7.947	7.892	7.828
29	58	7.959	8.118	7.990	7.959	8.104	8.056	8.186	8.029	7.993	8.082
